ID,Glottocode,Language,Family,Consonants,WALS_size,Has_fricatives,F/C Ratio,Fricatives,n_fricatives,n_places,β,ɸ,v,f,θ,ð,s,z,s̺,ʃ,ɹ̝,ɬ,ɕ,ʑ,ç,ʝ,ɮ,ʒ,ʂ,ʐ,x,ɣ,ʁ,h,Voice_stops,Voice_fricatives,Allo_fric,Latitude,Longitude,Source,Commentary
1,kano1245,Kanoe,Isolate,12,small,1,0.16,β x,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-12.18,-64.58,bacelar_2004,"The fricative β is in contrast with approximant w, but has no contrasting voiceless segment. The velar fricative x has a very limited distribution. The underlying affricate ts has fricative realizations."
2,kana1291,Katukina,Katukina-Kanamari,14,small,1,0.07,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-6.45,-68.77,anjos_2011,No fricative realization is reported for the underlying affricates
3,kana1291,Kanamari,Katukina-Kanamari,14,small,1,0.07,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-6.45,-68.77,magalhaes_2018,"No fricative realization is reported for the underlying affricates; in Kanamari, but not in Katukina, the fricative h occurs in underlyingly in codas."
4,kwaz1243,Kwaza,Isolate,19,average,1,0.15,h s s̺,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-11.67,-61.18,voort_2004,The glottal h has both voiced and nasalized realizations; the coronal contrast is between lamino-alveolar s and apical-post-alveolar s̺ (the latter having [ʃ] as an allophone)
5,trio1238,Tiriyó,Cariban,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.54,-55.76,meira_1999; carlin_2004,The glottal h is restricted to syllable codas and has allophones [ç] and [x] conditioned by the place (palatal or dorsal) of the preceding vowel; note that Carlin (2004) considers ɸ to be an independent phoneme. This is tied to dialectal differences within Tiriyó and interesting sound changes.
6,waya1269,Wayana,Cariban,9,small,1,0.11,s ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,-54.44,tavares_2005; camargo_1996,"Although both sources agree on the number of consonants and the number of fricatives, Tavares (2005) analyzes the single fricative as h, while Camargo (1996) postulates a single phoneme s. I have followed the latter, simply because this seems to be the etymological situation, h being historically derived."
7,enap1235,Panare,Cariban,14,small,1,0.14,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.95,-65.85,payne_payne_2013,The glottal h is classified as an approximant in the source; the fricative s also has affricate realizations.
8,ikpe1245,Ikpeng,Cariban,11,small,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-11.38,-53.5,carvalho_et_al_2025,"Since the affricate t͡ʃ has an uncertain phonological status but is clearly historically secondary, the same criterion of historical primacy has been followed as in the case of the Wayana fricative. The Ikpeng affricate was excluded from the inventory of contrastive Ikpeng segments."
9,kama1373,Kamayurá,Tupian,14,small,1,0.14,h hʷ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-12.27,-53.47,seki_2000,The fricative hʷ may be realized as ɸ; the approximant w has a fricative realization β preceding a front vowel.
10,culi1244,Kulina,Arawan,16,moderately small,1,0.06,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-8.55,-70.66,dienst_2014,"All the underlying affricates (ts, tsʰ and dz) have optional fricative realizations. Kulina has an apparently rare aspirated fricative realization. The approximant w has a labiodental fricative (free) allophone [v] preceding i and e. Note that while no underlying fricative is posited, a “rare phoneme” s is considered as an innovation of the Madihá branch, though one restricted to sound-symbolic words and loans."
